rank,id,priority,effort,wave,theme,title,source_repo,source_ref,source_url
1,CP2K-0011,P1,S,wave-1,general-polish,"Follow up ""kiro账号被封"" by closing compatibility gaps and locking in regression coverage.",router-for-me/CLIProxyAPIPlus,issue#221,https://github.com/router-for-me/CLIProxyAPIPlus/issues/221
2,CP2K-0014,P1,S,wave-1,thinking-and-reasoning,"Generalize ""Add support for proxying models from kilocode CLI"" into provider-agnostic translation/utilities to reduce duplicate logic.",router-for-me/CLIProxyAPIPlus,issue#213,https://github.com/router-for-me/CLIProxyAPIPlus/issues/213
3,CP2K-0015,P1,S,wave-1,responses-and-chat-compat,"Improve CLI UX around ""[Bug] Kiro 与 Ampcode 的 Bash 工具参数不兼容"" with clearer commands, flags, and immediate validation feedback.",router-for-me/CLIProxyAPIPlus,issue#210,https://github.com/router-for-me/CLIProxyAPIPlus/issues/210
4,CP2K-0016,P1,S,wave-1,provider-model-registry,"Extend docs for ""[Feature Request] Add default oauth-model-alias for Kiro channel (like Antigravity)"" with quickstart snippets and troubleshooting decision trees.",router-for-me/CLIProxyAPIPlus,issue#208,https://github.com/router-for-me/CLIProxyAPIPlus/issues/208
5,CP2K-0017,P1,S,wave-1,docs-quickstarts,"Create or refresh provider quickstart derived from ""bug: Nullable type arrays in tool schemas cause 400 error on Antigravity/Droid Factory"" with setup/auth/model/sanity-check flow.",router-for-me/CLIProxyAPIPlus,issue#206,https://github.com/router-for-me/CLIProxyAPIPlus/issues/206
6,CP2K-0018,P1,S,wave-1,thinking-and-reasoning,"Refactor internals touched by ""GitHub Copilot CLI 使用方法"" to reduce coupling and improve maintainability.",router-for-me/CLIProxyAPIPlus,issue#202,https://github.com/router-for-me/CLIProxyAPIPlus/issues/202
7,CP2K-0021,P1,S,wave-1,provider-model-registry,"Follow up ""Cursor CLI \ Auth Support"" by closing compatibility gaps and locking in regression coverage.",router-for-me/CLIProxyAPIPlus,issue#198,https://github.com/router-for-me/CLIProxyAPIPlus/issues/198
8,CP2K-0022,P1,S,wave-1,oauth-and-authentication,"Harden ""Why no opus 4.6 on github copilot auth"" with stricter validation, safer defaults, and explicit fallback semantics.",router-for-me/CLIProxyAPIPlus,issue#196,https://github.com/router-for-me/CLIProxyAPIPlus/issues/196
9,CP2K-0025,P1,S,wave-1,thinking-and-reasoning,"Improve CLI UX around ""Claude thought_signature forwarded to Gemini causes Base64 decode error"" with clearer commands, flags, and immediate validation feedback.",router-for-me/CLIProxyAPIPlus,issue#178,https://github.com/router-for-me/CLIProxyAPIPlus/issues/178
10,CP2K-0030,P1,S,wave-1,responses-and-chat-compat,"Standardize naming/metadata affected by ""fix(kiro): handle empty content in messages to prevent Bad Request errors"" across both repos and docs.",router-for-me/CLIProxyAPIPlus,issue#163,https://github.com/router-for-me/CLIProxyAPIPlus/issues/163
11,CP2K-0031,P1,S,wave-1,oauth-and-authentication,"Follow up ""在配置文件中支持为所有 OAuth 渠道自定义上游 URL"" by closing compatibility gaps and locking in regression coverage.",router-for-me/CLIProxyAPIPlus,issue#158,https://github.com/router-for-me/CLIProxyAPIPlus/issues/158
12,CP2K-0034,P1,S,wave-1,docs-quickstarts,"Create or refresh provider quickstart derived from ""请求docker部署支持arm架构的机器！感谢。"" with setup/auth/model/sanity-check flow.",router-for-me/CLIProxyAPIPlus,issue#147,https://github.com/router-for-me/CLIProxyAPIPlus/issues/147
13,CP2K-0036,P1,S,wave-1,responses-and-chat-compat,"Extend docs for ""[Bug]进一步完善 openai兼容模式对 claude 模型的支持（完善 协议格式转换 ）"" with quickstart snippets and troubleshooting decision trees.",router-for-me/CLIProxyAPIPlus,issue#145,https://github.com/router-for-me/CLIProxyAPIPlus/issues/145
14,CP2K-0037,P1,S,wave-1,responses-and-chat-compat,"Add robust stream/non-stream parity tests for ""完善 claude openai兼容渠道的格式转换"" across supported providers.",router-for-me/CLIProxyAPIPlus,issue#142,https://github.com/router-for-me/CLIProxyAPIPlus/issues/142
15,CP2K-0039,P1,S,wave-1,responses-and-chat-compat,"Prepare safe rollout for ""kiro idc登录需要手动刷新状态"" via flags, migration docs, and backward-compat tests.",router-for-me/CLIProxyAPIPlus,issue#136,https://github.com/router-for-me/CLIProxyAPIPlus/issues/136
16,CP2K-0040,P1,S,wave-1,thinking-and-reasoning,"Standardize naming/metadata affected by ""[Bug Fix] 修复 Kiro 的Claude模型非流式请求 output_tokens 为 0 导致的用量统计缺失"" across both repos and docs.",router-for-me/CLIProxyAPIPlus,issue#134,https://github.com/router-for-me/CLIProxyAPIPlus/issues/134
17,CP2K-0045,P1,S,wave-1,responses-and-chat-compat,"Improve CLI UX around ""Error 403"" with clearer commands, flags, and immediate validation feedback.",router-for-me/CLIProxyAPIPlus,issue#125,https://github.com/router-for-me/CLIProxyAPIPlus/issues/125
18,CP2K-0047,P1,S,wave-1,thinking-and-reasoning,"Add robust stream/non-stream parity tests for ""enterprise 账号 Kiro不是很稳定，很容易就403不可用了"" across supported providers.",router-for-me/CLIProxyAPIPlus,issue#118,https://github.com/router-for-me/CLIProxyAPIPlus/issues/118
19,CP2K-0048,P1,S,wave-1,oauth-and-authentication,"Refactor internals touched by ""-kiro-aws-login 登录后一直封号"" to reduce coupling and improve maintainability.",router-for-me/CLIProxyAPIPlus,issue#115,https://github.com/router-for-me/CLIProxyAPIPlus/issues/115
20,CP2K-0050,P1,S,wave-1,oauth-and-authentication,"Standardize naming/metadata affected by ""Antigravity authentication failed"" across both repos and docs.",router-for-me/CLIProxyAPIPlus,issue#111,https://github.com/router-for-me/CLIProxyAPIPlus/issues/111
21,CP2K-0051,P1,S,wave-1,docs-quickstarts,"Create or refresh provider quickstart derived from ""大佬，什么时候搞个多账号管理呀"" with setup/auth/model/sanity-check flow.",router-for-me/CLIProxyAPIPlus,issue#108,https://github.com/router-for-me/CLIProxyAPIPlus/issues/108
22,CP2K-0052,P1,S,wave-1,oauth-and-authentication,"Harden ""日志中,一直打印auth file changed (WRITE)"" with stricter validation, safer defaults, and explicit fallback semantics.",router-for-me/CLIProxyAPIPlus,issue#105,https://github.com/router-for-me/CLIProxyAPIPlus/issues/105
23,CP2K-0053,P1,S,wave-1,oauth-and-authentication,"Operationalize ""登录incognito参数无效"" with observability, runbook updates, and deployment safeguards.",router-for-me/CLIProxyAPIPlus,issue#102,https://github.com/router-for-me/CLIProxyAPIPlus/issues/102
24,CP2K-0054,P1,S,wave-1,thinking-and-reasoning,"Generalize ""OpenAI-compat provider hardcodes /v1/models (breaks Z.ai v4: /api/coding/paas/v4/models)"" into provider-agnostic translation/utilities to reduce duplicate logic.",router-for-me/CLIProxyAPIPlus,issue#101,https://github.com/router-for-me/CLIProxyAPIPlus/issues/101
25,CP2K-0056,P1,S,wave-1,responses-and-chat-compat,"Extend docs for ""Kiro currently has no authentication available"" with quickstart snippets and troubleshooting decision trees.",router-for-me/CLIProxyAPIPlus,issue#96,https://github.com/router-for-me/CLIProxyAPIPlus/issues/96
26,CP2K-0059,P1,S,wave-1,thinking-and-reasoning,"Prepare safe rollout for ""Bug: Kiro/BuilderId tokens can collide when email/profile_arn are empty; refresh token lifecycle not handled"" via flags, migration docs, and backward-compat tests.",router-for-me/CLIProxyAPIPlus,issue#90,https://github.com/router-for-me/CLIProxyAPIPlus/issues/90
27,CP2K-0060,P1,S,wave-1,responses-and-chat-compat,"Standardize naming/metadata affected by ""[Bug] Amazon Q endpoint returns HTTP 400 ValidationException (wrong CLI/KIRO_CLI origin)"" across both repos and docs.",router-for-me/CLIProxyAPIPlus,issue#89,https://github.com/router-for-me/CLIProxyAPIPlus/issues/89
28,CP2K-0062,P1,S,wave-1,responses-and-chat-compat,"Harden ""Cursor Issue"" with stricter validation, safer defaults, and explicit fallback semantics.",router-for-me/CLIProxyAPIPlus,issue#86,https://github.com/router-for-me/CLIProxyAPIPlus/issues/86
