Title,Body,Status,Priority,Wave,Effort,Theme,Implementation Ready,Source Kind,Source Repo,Source Ref,Source URL,Labels,Board ID
"Follow up ""kiro账号被封"" by closing compatibility gaps and locking in regression coverage.",Execution item CP2K-0011 | Source: router-for-me/CLIProxyAPIPlus issue#221 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/221 | Implementation note: Implement compatibility-preserving normalization path with explicit fallback behavior and telemetry. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,general-polish,yes,issue,router-for-me/CLIProxyAPIPlus,issue#221,https://github.com/router-for-me/CLIProxyAPIPlus/issues/221,"board-2000,theme:general-polish,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0011
"Generalize ""Add support for proxying models from kilocode CLI"" into provider-agnostic translation/utilities to reduce duplicate logic.",Execution item CP2K-0014 | Source: router-for-me/CLIProxyAPIPlus issue#213 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/213 | Implementation note: Refactor translation layer to isolate provider transform logic from transport concerns. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,thinking-and-reasoning,yes,issue,router-for-me/CLIProxyAPIPlus,issue#213,https://github.com/router-for-me/CLIProxyAPIPlus/issues/213,"board-2000,theme:thinking-and-reasoning,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0014
"Improve CLI UX around ""[Bug] Kiro 与 Ampcode 的 Bash 工具参数不兼容"" with clearer commands, flags, and immediate validation feedback.",Execution item CP2K-0015 | Source: router-for-me/CLIProxyAPIPlus issue#210 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/210 | Implementation note: Instrument structured logs/metrics around request normalize->translate->dispatch lifecycle. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,responses-and-chat-compat,yes,issue,router-for-me/CLIProxyAPIPlus,issue#210,https://github.com/router-for-me/CLIProxyAPIPlus/issues/210,"board-2000,theme:responses-and-chat-compat,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0015
"Extend docs for ""[Feature Request] Add default oauth-model-alias for Kiro channel (like Antigravity)"" with quickstart snippets and troubleshooting decision trees.",Execution item CP2K-0016 | Source: router-for-me/CLIProxyAPIPlus issue#208 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/208 | Implementation note: Add staged rollout controls (feature flags) with safe defaults and migration notes. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,provider-model-registry,yes,issue,router-for-me/CLIProxyAPIPlus,issue#208,https://github.com/router-for-me/CLIProxyAPIPlus/issues/208,"board-2000,theme:provider-model-registry,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0016
"Create or refresh provider quickstart derived from ""bug: Nullable type arrays in tool schemas cause 400 error on Antigravity/Droid Factory"" with setup/auth/model/sanity-check flow.",Execution item CP2K-0017 | Source: router-for-me/CLIProxyAPIPlus issue#206 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/206 | Implementation note: Harden edge-case parsing for stream and non-stream payload variants. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,docs-quickstarts,yes,issue,router-for-me/CLIProxyAPIPlus,issue#206,https://github.com/router-for-me/CLIProxyAPIPlus/issues/206,"board-2000,theme:docs-quickstarts,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0017
"Refactor internals touched by ""GitHub Copilot CLI 使用方法"" to reduce coupling and improve maintainability.",Execution item CP2K-0018 | Source: router-for-me/CLIProxyAPIPlus issue#202 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/202 | Implementation note: Benchmark p50/p95 latency and memory; reject regressions in CI quality gate. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,thinking-and-reasoning,yes,issue,router-for-me/CLIProxyAPIPlus,issue#202,https://github.com/router-for-me/CLIProxyAPIPlus/issues/202,"board-2000,theme:thinking-and-reasoning,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0018
"Follow up ""Cursor CLI \ Auth Support"" by closing compatibility gaps and locking in regression coverage.",Execution item CP2K-0021 | Source: router-for-me/CLIProxyAPIPlus issue#198 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/198 | Implementation note: Implement compatibility-preserving normalization path with explicit fallback behavior and telemetry. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,provider-model-registry,yes,issue,router-for-me/CLIProxyAPIPlus,issue#198,https://github.com/router-for-me/CLIProxyAPIPlus/issues/198,"board-2000,theme:provider-model-registry,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0021
"Harden ""Why no opus 4.6 on github copilot auth"" with stricter validation, safer defaults, and explicit fallback semantics.",Execution item CP2K-0022 | Source: router-for-me/CLIProxyAPIPlus issue#196 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/196 | Implementation note: Add failing-before/failing-after regression tests and update golden fixtures for each supported provider. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,oauth-and-authentication,yes,issue,router-for-me/CLIProxyAPIPlus,issue#196,https://github.com/router-for-me/CLIProxyAPIPlus/issues/196,"board-2000,theme:oauth-and-authentication,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0022
"Improve CLI UX around ""Claude thought_signature forwarded to Gemini causes Base64 decode error"" with clearer commands, flags, and immediate validation feedback.",Execution item CP2K-0025 | Source: router-for-me/CLIProxyAPIPlus issue#178 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/178 | Implementation note: Instrument structured logs/metrics around request normalize->translate->dispatch lifecycle. | Tracking rule: keep source->solution mapping and update Status as work progresses.,proposed,P1,wave-1,S,thinking-and-reasoning,yes,issue,router-for-me/CLIProxyAPIPlus,issue#178,https://github.com/router-for-me/CLIProxyAPIPlus/issues/178,"board-2000,theme:thinking-and-reasoning,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0025
"Standardize naming/metadata affected by ""fix(kiro): handle empty content in messages to prevent Bad Request errors"" across both repos and docs.","Execution item CP2K-0030 | Source: router-for-me/CLIProxyAPIPlus issue#163 | Source URL: https://github.com/router-for-me/CLIProxyAPIPlus/issues/163 | Implementation note: Add contract tests for malformed payloads, missing fields, and legacy/new mixed parameters. | Tracking rule: keep source->solution mapping and update Status as work progresses.",proposed,P1,wave-1,S,responses-and-chat-compat,yes,issue,router-for-me/CLIProxyAPIPlus,issue#163,https://github.com/router-for-me/CLIProxyAPIPlus/issues/163,"board-2000,theme:responses-and-chat-compat,prio:p1,wave:wave-1,effort:s,kind:issue",CP2K-0030
