id,theme,title,priority,effort,wave,status,implementation_ready,source_kind,source_repo,source_ref,source_url,implementation_note
CP2K-0011,general-polish,"Follow up ""kiro账号被封"" by closing compatibility gaps and locking in regression coverage.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#221,https://github.com/router-for-me/CLIProxyAPIPlus/issues/221,Implement compatibility-preserving normalization path with explicit fallback behavior and telemetry.
CP2K-0014,thinking-and-reasoning,"Generalize ""Add support for proxying models from kilocode CLI"" into provider-agnostic translation/utilities to reduce duplicate logic.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#213,https://github.com/router-for-me/CLIProxyAPIPlus/issues/213,Refactor translation layer to isolate provider transform logic from transport concerns.
CP2K-0015,responses-and-chat-compat,"Improve CLI UX around ""[Bug] Kiro 与 Ampcode 的 Bash 工具参数不兼容"" with clearer commands, flags, and immediate validation feedback.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#210,https://github.com/router-for-me/CLIProxyAPIPlus/issues/210,Instrument structured logs/metrics around request normalize->translate->dispatch lifecycle.
CP2K-0016,provider-model-registry,"Extend docs for ""[Feature Request] Add default oauth-model-alias for Kiro channel (like Antigravity)"" with quickstart snippets and troubleshooting decision trees.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#208,https://github.com/router-for-me/CLIProxyAPIPlus/issues/208,Add staged rollout controls (feature flags) with safe defaults and migration notes.
CP2K-0017,docs-quickstarts,"Create or refresh provider quickstart derived from ""bug: Nullable type arrays in tool schemas cause 400 error on Antigravity/Droid Factory"" with setup/auth/model/sanity-check flow.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#206,https://github.com/router-for-me/CLIProxyAPIPlus/issues/206,Harden edge-case parsing for stream and non-stream payload variants.
CP2K-0018,thinking-and-reasoning,"Refactor internals touched by ""GitHub Copilot CLI 使用方法"" to reduce coupling and improve maintainability.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#202,https://github.com/router-for-me/CLIProxyAPIPlus/issues/202,Benchmark p50/p95 latency and memory; reject regressions in CI quality gate.
CP2K-0021,provider-model-registry,"Follow up ""Cursor CLI \ Auth Support"" by closing compatibility gaps and locking in regression coverage.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#198,https://github.com/router-for-me/CLIProxyAPIPlus/issues/198,Implement compatibility-preserving normalization path with explicit fallback behavior and telemetry.
CP2K-0022,oauth-and-authentication,"Harden ""Why no opus 4.6 on github copilot auth"" with stricter validation, safer defaults, and explicit fallback semantics.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#196,https://github.com/router-for-me/CLIProxyAPIPlus/issues/196,Add failing-before/failing-after regression tests and update golden fixtures for each supported provider.
CP2K-0025,thinking-and-reasoning,"Improve CLI UX around ""Claude thought_signature forwarded to Gemini causes Base64 decode error"" with clearer commands, flags, and immediate validation feedback.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#178,https://github.com/router-for-me/CLIProxyAPIPlus/issues/178,Instrument structured logs/metrics around request normalize->translate->dispatch lifecycle.
CP2K-0030,responses-and-chat-compat,"Standardize naming/metadata affected by ""fix(kiro): handle empty content in messages to prevent Bad Request errors"" across both repos and docs.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#163,https://github.com/router-for-me/CLIProxyAPIPlus/issues/163,"Add contract tests for malformed payloads, missing fields, and legacy/new mixed parameters."
CP2K-0031,oauth-and-authentication,"Follow up ""在配置文件中支持为所有 OAuth 渠道自定义上游 URL"" by closing compatibility gaps and locking in regression coverage.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#158,https://github.com/router-for-me/CLIProxyAPIPlus/issues/158,Implement compatibility-preserving normalization path with explicit fallback behavior and telemetry.
CP2K-0034,docs-quickstarts,"Create or refresh provider quickstart derived from ""请求docker部署支持arm架构的机器！感谢。"" with setup/auth/model/sanity-check flow.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#147,https://github.com/router-for-me/CLIProxyAPIPlus/issues/147,Refactor translation layer to isolate provider transform logic from transport concerns.
CP2K-0036,responses-and-chat-compat,"Extend docs for ""[Bug]进一步完善 openai兼容模式对 claude 模型的支持（完善 协议格式转换 ）"" with quickstart snippets and troubleshooting decision trees.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#145,https://github.com/router-for-me/CLIProxyAPIPlus/issues/145,Add staged rollout controls (feature flags) with safe defaults and migration notes.
CP2K-0037,responses-and-chat-compat,"Add robust stream/non-stream parity tests for ""完善 claude openai兼容渠道的格式转换"" across supported providers.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#142,https://github.com/router-for-me/CLIProxyAPIPlus/issues/142,Harden edge-case parsing for stream and non-stream payload variants.
CP2K-0039,responses-and-chat-compat,"Prepare safe rollout for ""kiro idc登录需要手动刷新状态"" via flags, migration docs, and backward-compat tests.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#136,https://github.com/router-for-me/CLIProxyAPIPlus/issues/136,Expand quickstart and troubleshooting docs with copy-paste examples and expected outputs.
CP2K-0040,thinking-and-reasoning,"Standardize naming/metadata affected by ""[Bug Fix] 修复 Kiro 的Claude模型非流式请求 output_tokens 为 0 导致的用量统计缺失"" across both repos and docs.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#134,https://github.com/router-for-me/CLIProxyAPIPlus/issues/134,"Add contract tests for malformed payloads, missing fields, and legacy/new mixed parameters."
CP2K-0045,responses-and-chat-compat,"Improve CLI UX around ""Error 403"" with clearer commands, flags, and immediate validation feedback.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#125,https://github.com/router-for-me/CLIProxyAPIPlus/issues/125,Instrument structured logs/metrics around request normalize->translate->dispatch lifecycle.
CP2K-0047,thinking-and-reasoning,"Add robust stream/non-stream parity tests for ""enterprise 账号 Kiro不是很稳定，很容易就403不可用了"" across supported providers.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#118,https://github.com/router-for-me/CLIProxyAPIPlus/issues/118,Harden edge-case parsing for stream and non-stream payload variants.
CP2K-0048,oauth-and-authentication,"Refactor internals touched by ""-kiro-aws-login 登录后一直封号"" to reduce coupling and improve maintainability.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#115,https://github.com/router-for-me/CLIProxyAPIPlus/issues/115,Benchmark p50/p95 latency and memory; reject regressions in CI quality gate.
CP2K-0050,oauth-and-authentication,"Standardize naming/metadata affected by ""Antigravity authentication failed"" across both repos and docs.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#111,https://github.com/router-for-me/CLIProxyAPIPlus/issues/111,"Add contract tests for malformed payloads, missing fields, and legacy/new mixed parameters."
CP2K-0051,docs-quickstarts,"Create or refresh provider quickstart derived from ""大佬，什么时候搞个多账号管理呀"" with setup/auth/model/sanity-check flow.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#108,https://github.com/router-for-me/CLIProxyAPIPlus/issues/108,Implement compatibility-preserving normalization path with explicit fallback behavior and telemetry.
CP2K-0052,oauth-and-authentication,"Harden ""日志中,一直打印auth file changed (WRITE)"" with stricter validation, safer defaults, and explicit fallback semantics.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#105,https://github.com/router-for-me/CLIProxyAPIPlus/issues/105,Add failing-before/failing-after regression tests and update golden fixtures for each supported provider.
CP2K-0053,oauth-and-authentication,"Operationalize ""登录incognito参数无效"" with observability, runbook updates, and deployment safeguards.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#102,https://github.com/router-for-me/CLIProxyAPIPlus/issues/102,Improve error diagnostics and add actionable remediation text in CLI and docs.
CP2K-0054,thinking-and-reasoning,"Generalize ""OpenAI-compat provider hardcodes /v1/models (breaks Z.ai v4: /api/coding/paas/v4/models)"" into provider-agnostic translation/utilities to reduce duplicate logic.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#101,https://github.com/router-for-me/CLIProxyAPIPlus/issues/101,Refactor translation layer to isolate provider transform logic from transport concerns.
CP2K-0056,responses-and-chat-compat,"Extend docs for ""Kiro currently has no authentication available"" with quickstart snippets and troubleshooting decision trees.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#96,https://github.com/router-for-me/CLIProxyAPIPlus/issues/96,Add staged rollout controls (feature flags) with safe defaults and migration notes.
CP2K-0059,thinking-and-reasoning,"Prepare safe rollout for ""Bug: Kiro/BuilderId tokens can collide when email/profile_arn are empty; refresh token lifecycle not handled"" via flags, migration docs, and backward-compat tests.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#90,https://github.com/router-for-me/CLIProxyAPIPlus/issues/90,Expand quickstart and troubleshooting docs with copy-paste examples and expected outputs.
CP2K-0060,responses-and-chat-compat,"Standardize naming/metadata affected by ""[Bug] Amazon Q endpoint returns HTTP 400 ValidationException (wrong CLI/KIRO_CLI origin)"" across both repos and docs.",P1,S,wave-1,proposed,yes,issue,router-for-me/CLIProxyAPIPlus,issue#89,https://github.com/router-for-me/CLIProxyAPIPlus/issues/89,"Add contract tests for malformed payloads, missing fields, and legacy/new mixed parameters."
