id,theme,title,priority,effort,source_kind,source_repo,source_ref,source_url,status,action
CPB-0001,platform-architecture,"Extract a standalone Go mgmt CLI from thegent-owned cliproxy flows (`install`, `doctor`, `login`, `models`, `watch`, `reload`).",P1,L,strategy,cross-repo,synthesis,,proposed,Implement normalized parameter ingestion with strict backward compatibility and explicit telemetry counters.
CPB-0002,platform-architecture,Define non-subprocess integration surface for thegent: local Go bindings (preferred) and HTTP API fallback with capability negotiation.,P1,L,strategy,cross-repo,synthesis,,proposed,Add regression tests that fail before fix and pass after patch; include fixture updates for cross-provider mapping.
CPB-0003,install-and-ops,"Add `cliproxy dev` process-compose profile with hot reload, config regeneration watch, and explicit `refresh` command.",P1,M,strategy,cross-repo,synthesis,,proposed,Improve user-facing error messages and add deterministic remediation text with command examples.
CPB-0004,docs-quickstarts,"Ship provider-specific quickstarts (Codex, Claude, Gemini, Copilot, Kiro, MiniMax, OpenAI-compat) with 5-minute success path.",P1,M,strategy,cross-repo,synthesis,,proposed,Document behavior in provider quickstart and compatibility matrix with concrete request/response examples.
CPB-0005,docs-quickstarts,"Create troubleshooting matrix: auth failures, model not found, reasoning mismatch, stream parse faults, timeout classes.",P1,M,strategy,cross-repo,synthesis,,proposed,Refactor handler to isolate transformation logic from transport concerns and reduce side effects.
CPB-0006,cli-ux-dx,"Introduce interactive first-run setup wizard in Go CLI with profile detection, auth choice, and post-check summary.",P1,M,strategy,cross-repo,synthesis,,proposed,"Introduce structured logs for input config, normalized config, and outbound payload diff (sensitive fields redacted)."
CPB-0007,cli-ux-dx,Add `cliproxy doctor --fix` with deterministic remediation steps and machine-readable JSON report mode.,P1,M,strategy,cross-repo,synthesis,,proposed,Add config toggles for safe rollout and default them to preserve existing deployments.
CPB-0008,testing-and-quality,Establish conformance suite for OpenAI Responses + Chat Completions translation across all providers.,P1,L,strategy,cross-repo,synthesis,,proposed,Benchmark latency and memory before/after; gate merge on no regression for p50/p95.
CPB-0009,testing-and-quality,"Add golden fixture tests for reasoning controls (`variant`, `reasoning_effort`, `reasoning.effort`, model suffix).",P1,M,strategy,cross-repo,synthesis,,proposed,"Add API contract tests covering malformed input, missing fields, and mixed legacy/new parameter names."
CPB-0010,project-frontmatter,"Rewrite repo frontmatter: mission, architecture, support policy, compatibility matrix, release channels, contribution path.",P2,M,strategy,cross-repo,synthesis,,proposed,Create migration note and changelog entry with explicit compatibility guarantees and caveats.
